scenario,delai_utilise,cout_total,heures_gagnees,cout_par_heure_gagnee,delta_delai_moyen_min,delta_delai_med_min,delta_delai_p10_min,delta_delai_p90_min,somme_delta_minutes,nb_periodes_surcharge,faux_negatifs,faux_positifs
edwin_1civ,delai_tot,1330,3132.572852313991,0.42457113136811686,7.4212764923715095,6.268101595471186,-33.07711752483034,33.51570150874832,187954.37113883946,587,53,69
edwin_1med,delai_tot,704400,124230.58578456801,5.670101252050128,209.92107544428822,199.93769369973234,69.13899378596591,341.09526651599657,7453835.147074081,587,53,69
edwin_civmed,delai_tot,705730,127618.39134844157,5.530002318185608,216.8576392453069,205.18381286143267,85.39342168926979,356.5240896663333,7657103.480906494,587,53,69
