scenario,delai_utilise,cout_total,delta_delai_moyen_min,delta_delai_med_min,delta_delai_p10_min,delta_delai_p90_min,nb_periodes_surcharge,faux_negatifs,faux_positifs
edwin_1civ,delai_de_consult,1330,7.4212764923715095,6.268101595471186,-33.07711752483034,33.51570150874832,587,53,69
edwin_1med,delai_de_consult,704400,209.92107544428822,199.93769369973234,69.13899378596591,341.09526651599657,587,53,69
edwin_civmed,delai_de_consult,705730,216.8576392453069,205.18381286143267,85.39342168926979,356.5240896663333,587,53,69
